hand1,hand2,flop,turn,river,flop_quality,flop_dynamic_score
"['7h', '6s']","['Qs', '5c']","['3d', 'Js', 'Qd']",['9h'],['Ac'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['7s', '6d']","['Jd', '5s']","['Jc', 'Kh', '3c']",['9c'],['7h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['7d', '6s']","['Tc', '5s']","['Qs', '3h', 'Kh']",['8s'],['Kd'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['7h', '6d']","['9c', '5d']","['Ac', 'Ad', '8h']",['2h'],['9d'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['7s', '6c']","['8d', '5s']","['As', '6d', 'Td']",['9h'],['Tc'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['7d', '6c']","['7s', '5h']","['6d', '5c', '4c']",['Kc'],['7c'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['7d', '6c']","['6d', '5h']","['5d', '7s', '5c']",['Td'],['Kc'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['7c', '6s']","['5c', '5h']","['As', '4s', '4c']",['3d'],['6c'],"['Disconnected', 'Two-tone', 'Paired', 'Ace high']",2.5
"['7d', '6s']","['5c', '4c']","['7c', 'Ah', '7s']",['3h'],['2c'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['7h', '6s']","['5c', '3c']","['Kc', 'Ad', '4d']",['Jc'],['4s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['7s', '6h']","['5c', '2c']","['As', '5h', '4s']",['7h'],['3s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['7c', '6h']","['Ad', '4c']","['6c', 'Ks', 'As']",['Qd'],['3c'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['7d', '6c']","['Kh', '4s']","['7h', '4h', 'Qc']",['2s'],['Td'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['7s', '6d']","['Qs', '4d']","['Tc', 'Kc', '5h']",['7d'],['7h'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['7c', '6s']","['Jd', '4c']","['Th', '9d', 'Qh']",['Kd'],['7h'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['7h', '6d']","['Tc', '4d']","['Td', 'Jh', '2s']",['4h'],['7c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['7h', '6s']","['9c', '4h']","['Jc', '7c', 'Tc']",['3d'],['7s'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['7s', '6c']","['8d', '4h']","['4d', '9d', 'Ts']",['5h'],['Ad'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['7h', '6s']","['7d', '4c']","['2d', 'Ac', 'Ks']",['Kc'],['Qs'],"['Highly connected', 'Rainbow', 'Unpaired', 'Ace high']",3.0
"['7c', '6d']","['6s', '4h']","['8d', 'Jh', 'Ks']",['Ad'],['3d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['7d', '6s']","['5d', '4h']","['Jh', '8h', '5h']",['9h'],['Td'],"['Disconnected', 'Monotone', 'Unpaired']",3.0
"['7c', '6h']","['4h', '4c']","['Jh', '2s', 'Qh']",['6s'],['Ad'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['7s', '6h']","['4d', '3d']","['6c', '3s', 'Tc']",['2h'],['Qc'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['7s', '6h']","['4c', '2c']","['Qd', '9s', '7h']",['5d'],['7c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['7c', '6d']","['As', '3c']","['4d', 'Qd', '7s']",['4s'],['8d'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['7c', '6s']","['Kd', '3s']","['7s', 'Jc', '5d']",['Ad'],['8d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['7d', '6s']","['Qh', '3s']","['Jd', '6d', 'Ts']",['8c'],['Tc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['7c', '6s']","['Js', '3h']","['7d', '8d', 'Qd']",['As'],['Ks'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['7d', '6h']","['Ts', '3h']","['3c', '9s', '3s']",['4h'],['4s'],"['Disconnected', 'Two-tone', 'Paired']",3.25
"['7c', '6d']","['9h', '3s']","['Td', '2d', '2s']",['8d'],['Ks'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['7s', '6d']","['8h', '3c']","['9h', '9c', '3s']",['7c'],['Kd'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['7s', '6d']","['7d', '3s']","['5d', '3c', 'Jd']",['2d'],['3d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['7h', '6c']","['6h', '3d']","['Kc', 'Qh', '5h']",['Qs'],['Ad'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['7h', '6c']","['5c', '3s']","['3h', '5h', 'Kd']",['8s'],['2s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['7s', '6h']","['4d', '3h']","['8d', 'Jd', 'Td']",['4h'],['Qh'],"['Highly connected', 'Monotone', 'Unpaired']",6.0
"['7d', '6c']","['3d', '3c']","['2c', '2d', 'Ad']",['5s'],['7h'],"['Moderately connected', 'Two-tone', 'Paired', 'Ace high']",4.0
"['7d', '6s']","['3d', '2d']","['8s', 'As', '2s']",['6c'],['9s'],"['Moderately connected', 'Monotone', 'Unpaired', 'Ace high']",4.5
"['7h', '6s']","['Ad', '2s']","['4c', '4s', '9d']",['3s'],['3d'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['7d', '6s']","['Kh', '2d']","['5c', '6c', 'Ad']",['Ks'],['3d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['7d', '6c']","['Qs', '2c']","['9d', '4s', '8h']",['5h'],['7c'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['7s', '6c']","['Jc', '2d']","['7c', '2s', '8h']",['Js'],['5d'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['7h', '6s']","['Td', '2c']","['8s', '5d', 'Qc']",['3d'],['2h'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['7c', '6s']","['9c', '2s']","['7h', '9s', 'Ks']",['8d'],['5h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['7s', '6c']","['8h', '2s']","['6d', '3s', '9h']",['9s'],['Qd'],"['Disconnected', 'Rainbow', 'Unpaired']",0.75
"['7s', '6c']","['7c', '2d']","['8c', '5c', 'Kh']",['Qs'],['Ac'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['7d', '6s']","['6d', '2h']","['2s', '8s', '5h']",['3d'],['Qh'],"['Disconnected', 'Two-tone', 'Unpaired']",2.25
"['7d', '6c']","['5s', '2c']","['Jh', '9c', '3h']",['3c'],['Ac'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['7h', '6c']","['4h', '2d']","['5s', '6h', 'Qs']",['Ah'],['Kh'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['7s', '6d']","['3s', '2h']","['5s', '4s', '5d']",['8c'],['2s'],"['Moderately connected', 'Two-tone', 'Paired']",4.75
"['7h', '6d']","['2d', '2s']","['9c', '3d', '6c']",['5c'],['Tc'],"['Disconnected', 'Two-tone', 'Unpaired']",2.25
"['6c', '6s']","['6h', '5c']","['7h', 'Qs', '4s']",['7c'],['3c'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6d', '6s']","['6h', '4s']","['Ac', '8d', '7h']",['Qc'],['3s'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['6d', '6h']","['6s', '3h']","['Td', '7h', 'As']",['Qc'],['5h'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['6s', '6h']","['6d', '2h']","['Jh', '8d', '8c']",['4c'],['Ts'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['6s', '6c']","['Ad', '5h']","['Kc', '7h', '3d']",['Kh'],['Jh'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['6h', '6s']","['Kc', '5d']","['Tc', '9h', '5s']",['3c'],['5h'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6c', '6d']","['Qc', '5s']","['2c', '8s', '7s']",['Ad'],['5h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['6s', '6c']","['Jh', '5d']","['7h', 'Js', '6d']",['Qh'],['9c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6d', '6c']","['Tc', '5d']","['9c', 'As', '9h']",['4c'],['5h'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['6h', '6d']","['9c', '5h']","['8c', 'Js', 'Ks']",['4h'],['9h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6c', '6d']","['8c', '5d']","['As', 'Js', 'Ts']",['3c'],['Tc'],"['Moderately connected', 'Monotone', 'Unpaired', 'Ace high']",4.5
"['6h', '6c']","['7s', '5h']","['9h', '9d', 'As']",['Ts'],['4c'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['6s', '6h']","['6d', '5s']","['Kh', 'Qs', '4d']",['9h'],['Tc'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['6s', '6d']","['5h', '5s']","['7h', '9h', 'Qs']",['Qd'],['Ts'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6c', '6d']","['5h', '4h']","['9d', '3c', 'Js']",['4s'],['5s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6c', '6s']","['5s', '3s']","['Qh', 'Tc', '7c']",['3d'],['4h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6c', '6d']","['5d', '2d']","['3s', '7h', 'Js']",['9s'],['Ts'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6s', '6c']","['As', '4d']","['3h', '7c', 'Ks']",['9c'],['Jh'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['6h', '6s']","['Kd', '4c']","['Ah', '2d', 'Ad']",['9d'],['6d'],"['Moderately connected', 'Two-tone', 'Paired', 'Ace high']",4.0
"['6s', '6h']","['Qs', '4c']","['3s', '7c', 'Ac']",['7h'],['Tc'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['6s', '6c']","['Jc', '4s']","['4h', 'Ts', 'Kc']",['7d'],['5h'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['6d', '6c']","['Td', '4h']","['Ad', '7h', 'Th']",['5d'],['4s'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['6d', '6c']","['9c', '4s']","['Qc', 'Ks', 'Jd']",['Ad'],['9h'],"['Highly connected', 'Rainbow', 'Unpaired', 'King high']",3.0
"['6s', '6d']","['8d', '4c']","['8c', 'Qd', '7h']",['5h'],['4d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6d', '6h']","['7s', '4d']","['7d', '9h', '4s']",['5d'],['5c'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['6s', '6c']","['6h', '4s']","['Ks', '8s', '5d']",['3d'],['Js'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['6d', '6h']","['5s', '4d']","['Ks', 'As', '2s']",['Kc'],['3d'],"['Highly connected', 'Monotone', 'Unpaired', 'Ace high']",6.0
"['6c', '6s']","['4c', '4s']","['Kd', '3d', 'Th']",['Ad'],['Qs'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['6h', '6c']","['4d', '3d']","['5h', 'Qs', '7h']",['7c'],['Th'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6s', '6c']","['4c', '2c']","['Ad', 'Qc', 'Jh']",['As'],['9c'],"['Highly connected', 'Rainbow', 'Unpaired', 'Ace high']",3.0
"['6d', '6c']","['Ah', '3d']","['2c', 'Ac', 'Tc']",['Qs'],['Qh'],"['Moderately connected', 'Monotone', 'Unpaired', 'Ace high']",4.5
"['6h', '6d']","['Ks', '3h']","['7d', '8s', '8c']",['Js'],['8d'],"['Moderately connected', 'Rainbow', 'Paired']",3.25
"['6d', '6c']","['Qc', '3d']","['Jc', 'Ad', '2c']",['Qs'],['4h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['6s', '6d']","['Jh', '3c']","['7d', 'Js', 'Kd']",['2s'],['Jc'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6d', '6h']","['Th', '3c']","['Jc', 'Ks', '4h']",['6s'],['Ad'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['6h', '6s']","['9d', '3s']","['Td', '4h', '7s']",['8s'],['5h'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['6s', '6d']","['8s', '3d']","['2h', '3c', 'Ks']",['6c'],['9s'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['6c', '6h']","['7c', '3h']","['4c', '9s', 'Kc']",['6s'],['Qh'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['6s', '6h']","['6d', '3c']","['9c', 'Qs', 'Kd']",['Ah'],['2c'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['6h', '6d']","['5d', '3c']","['7h', 'Ts', '7s']",['8s'],['Jh'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['6d', '6s']","['4d', '3h']","['2c', 'Kd', '6c']",['9s'],['5c'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['6h', '6s']","['3c', '3d']","['Td', '6d', 'Kd']",['8s'],['9c'],"['Disconnected', 'Monotone', 'Unpaired', 'King high']",3.0
"['6h', '6d']","['3c', '2c']","['Tc', '6c', 'Ts']",['3s'],['Qh'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['6h', '6c']","['As', '2d']","['6s', 'Ts', 'Ah']",['7s'],['Jc'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['6h', '6d']","['Kh', '2c']","['7h', 'Qc', 'Ad']",['7c'],['8d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['6h', '6d']","['Qd', '2c']","['9d', 'As', '7h']",['8c'],['9c'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['6h', '6d']","['Jh', '2s']","['Qh', '8d', 'Kh']",['5h'],['Ah'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6c', '6d']","['Tc', '2s']","['8h', 'Ts', '5h']",['Kh'],['5d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6c', '6d']","['9s', '2c']","['Ks', 'Qc', 'Ah']",['Jc'],['Kc'],"['Highly connected', 'Rainbow', 'Unpaired', 'Ace high']",3.0
"['6d', '6h']","['8s', '2d']","['4s', '4c', 'Ks']",['Jc'],['7h'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['6d', '6h']","['7h', '2s']","['Ks', 'Kc', '3h']",['3d'],['Qs'],"['Disconnected', 'Rainbow', 'Paired', 'King high']",1.0
"['6d', '6h']","['6s', '2d']","['Qh', 'Jd', 'Ts']",['6c'],['3c'],"['Highly connected', 'Rainbow', 'Unpaired']",3.0
"['6c', '6h']","['5s', '2h']","['6s', 'Ks', '3s']",['Td'],['8d'],"['Disconnected', 'Monotone', 'Unpaired', 'King high']",3.0
"['6s', '6h']","['4h', '2s']","['4s', 'Ks', 'Qh']",['4c'],['6d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6h', '6c']","['3s', '2c']","['8d', '3d', '3c']",['2d'],['8h'],"['Disconnected', 'Two-tone', 'Paired']",3.25
"['6s', '6d']","['2c', '2s']","['Kc', '2h', '5s']",['5h'],['Th'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['6s', '5s']","['6h', '4h']","['Tc', 'Qd', 'Ks']",['8d'],['Kc'],"['Highly connected', 'Rainbow', 'Unpaired', 'King high']",3.0
"['6d', '5d']","['6s', '3d']","['7h', 'Qd', '2h']",['3h'],['7c'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6d', '5d']","['6c', '2c']","['5h', 'Th', '9d']",['8d'],['3h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6h', '5h']","['As', '5d']","['3h', 'Tc', 'Jc']",['9d'],['6c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6d', '5d']","['Kc', '5s']","['3h', 'Ad', '8s']",['Ac'],['7s'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['6c', '5c']","['Qc', '5h']","['7d', '2c', '9h']",['3c'],['2h'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['6d', '5d']","['Js', '5s']","['2s', 'Ts', 'Kc']",['Th'],['Jd'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['6d', '5d']","['Td', '5s']","['6c', 'Qh', '4d']",['Jc'],['Ts'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6d', '5d']","['9c', '5h']","['Ts', 'Ah', '6c']",['8s'],['9s'],"['Disconnected', 'Rainbow', 'Unpaired', 'Ace high']",0.0
"['6s', '5s']","['8h', '5c']","['7s', 'Td', '4s']",['Js'],['2s'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6c', '5c']","['7c', '5h']","['9c', '5d', '6h']",['7h'],['As'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['6d', '5d']","['6c', '5h']","['7c', 'Tc', '3d']",['2d'],['Ts'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6h', '5h']","['5c', '5d']","['2c', 'Jh', 'Td']",['9d'],['3s'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6h', '5h']","['5d', '4d']","['2d', 'As', '6c']",['2h'],['9d'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['6d', '5d']","['5h', '3h']","['8c', '7h', 'Qc']",['6s'],['4h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6d', '5d']","['5s', '2s']","['6c', '8d', 'Kc']",['2h'],['2c'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6c', '5c']","['Ah', '4s']","['Qh', '8h', '9d']",['3h'],['Jc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6h', '5h']","['Kc', '4h']","['2d', '4c', 'Kd']",['Ad'],['8h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6c', '5c']","['Qc', '4s']","['Ac', 'Qd', '8h']",['9h'],['2h'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['6d', '5d']","['Js', '4d']","['2h', '3s', '9d']",['5c'],['Qd'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['6h', '5h']","['Tc', '4h']","['Kh', 'Kc', '3d']",['7h'],['Qc'],"['Disconnected', 'Rainbow', 'Paired', 'King high']",1.0
"['6c', '5c']","['9d', '4s']","['Jc', '2d', 'Qc']",['Ac'],['Qs'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6d', '5d']","['8d', '4h']","['Td', 'Jc', '9d']",['9h'],['Qd'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['6c', '5c']","['7s', '4h']","['5s', '2d', '4d']",['3c'],['9d'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['6d', '5d']","['6s', '4c']","['Th', '4h', 'Td']",['7s'],['7h'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['6s', '5s']","['5c', '4h']","['As', '2c', 'Qc']",['Kc'],['2d'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['6h', '5h']","['4c', '4h']","['2c', '3h', '5c']",['Ad'],['2d'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['6d', '5d']","['4s', '3s']","['5c', '4c', 'Qh']",['Jc'],['7s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6s', '5s']","['4c', '2c']","['Qh', 'Tc', '6c']",['Jd'],['Ts'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6c', '5c']","['Ad', '3h']","['9h', 'Td', '2d']",['Th'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6s', '5s']","['Kh', '3d']","['6c', 'As', 'Tc']",['6d'],['7c'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['6h', '5h']","['Qs', '3d']","['2s', 'Kd', 'Jh']",['Kc'],['Qh'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['6s', '5s']","['Js', '3h']","['Td', '3c', 'Ad']",['8d'],['8c'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['6c', '5c']","['Tc', '3h']","['6h', '9s', '4c']",['4s'],['Kh'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['6d', '5d']","['9c', '3d']","['Ks', 'Ah', '8s']",['4c'],['8h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['6c', '5c']","['8d', '3c']","['9h', '3s', '5s']",['7s'],['7c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['6d', '5d']","['7d', '3s']","['6s', '3d', 'Ad']",['Jc'],['7s'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['6h', '5h']","['6s', '3d']","['Ac', '4h', '8h']",['7s'],['4d'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['6s', '5s']","['5c', '3h']","['Qs', '5h', '7h']",['2c'],['Qc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6h', '5h']","['4h', '3s']","['8d', 'Ah', '8s']",['3d'],['Ad'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['6h', '5h']","['3d', '3s']","['Kc', 'Ac', 'Th']",['7s'],['8d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['6c', '5c']","['3s', '2s']","['Ah', '9h', 'Ks']",['Qd'],['4c'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['6h', '5h']","['Ah', '2s']","['Ks', '8c', 'Jc']",['Kh'],['Kc'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6d', '5d']","['Kd', '2c']","['Kh', '5c', '6s']",['4h'],['Qs'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['6h', '5h']","['Qh', '2s']","['Ts', '2h', '2c']",['7d'],['6d'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['6s', '5s']","['Jh', '2d']","['Th', '4d', '7h']",['6c'],['3d'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6s', '5s']","['Tc', '2d']","['8s', '6d', '7d']",['2h'],['7c'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['6c', '5c']","['9s', '2d']","['Kc', '4c', '6h']",['Ah'],['8c'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6s', '5s']","['8c', '2s']","['8s', '5c', 'Qs']",['Tc'],['Th'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6s', '5s']","['7d', '2s']","['Qd', '3s', '3h']",['6d'],['4d'],"['Disconnected', 'Rainbow', 'Paired']",1.0
"['6s', '5s']","['6h', '2d']","['9c', '3c', 'Ks']",['2c'],['Kd'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['6d', '5d']","['5h', '2d']","['3s', '7h', 'Qh']",['4c'],['2s'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6h', '5h']","['4c', '2h']","['9c', '3c', 'Js']",['9d'],['4h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6h', '5h']","['3h', '2c']","['Qh', '6s', '7d']",['3s'],['3c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6h', '5h']","['2d', '2c']","['Th', '9h', '7h']",['Jc'],['Js'],"['Highly connected', 'Monotone', 'Unpaired']",6.0
"['6d', '4d']","['6s', '3s']","['3d', '4h', '2s']",['9c'],['7h'],"['Highly connected', 'Rainbow', 'Unpaired']",3.75
"['6c', '4c']","['6d', '2d']","['3s', 'Kh', '4h']",['Ad'],['7s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6h', '4h']","['Ah', '5s']","['4c', 'Td', '6s']",['3c'],['7c'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6c', '4c']","['Kc', '5h']","['Jh', '8c', '3c']",['8d'],['3d'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6c', '4c']","['Qd', '5c']","['Ks', 'Qh', 'As']",['Tc'],['2h'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['6d', '4d']","['Js', '5c']","['Ts', '5s', '2s']",['Td'],['7d'],"['Disconnected', 'Monotone', 'Unpaired']",3.0
"['6h', '4h']","['Td', '5s']","['9h', '7s', '2d']",['Ts'],['4s'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['6c', '4c']","['9c', '5h']","['8d', '5s', '4d']",['2h'],['6s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['6h', '4h']","['8h', '5d']","['3d', 'Js', '9h']",['6s'],['Ks'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['6c', '4c']","['7c', '5d']","['2d', 'As', 'Tc']",['Qd'],['Kh'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['6c', '4c']","['6h', '5d']","['8s', 'Jc', '3c']",['Qs'],['Ks'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6d', '4d']","['5s', '5h']","['Kd', 'Ac', 'Ah']",['9h'],['8c'],"['Moderately connected', 'Rainbow', 'Paired', 'Ace high']",2.5
"['6c', '4c']","['5s', '4s']","['Jc', '8h', '2c']",['Kh'],['6s'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['6d', '4d']","['5d', '3d']","['6h', 'Th', '5c']",['2c'],['Td'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['6h', '4h']","['5c', '2c']","['Ts', 'Qs', 'Ah']",['8h'],['7h'],"['Highly connected', 'Two-tone', 'Unpaired', 'Ace high']",4.5
"['6d', '4d']","['Ah', '4s']","['7d', '9h', '8h']",['7h'],['Ks'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['6d', '4d']","['Kh', '4s']","['Jc', '9s', 'Ks']",['Ah'],['Th'],"['Highly connected', 'Two-tone', 'Unpaired', 'King high']",4.5
"['6h', '4h']","['Qs', '4s']","['Kc', 'Qd', '6d']",['Ac'],['3s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6d', '4d']","['Js', '4h']","['3s', '2d', 'Ks']",['2h'],['4s'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['6d', '4d']","['Ts', '4c']","['Kh', 'Js', 'Kd']",['9h'],['5s'],"['Moderately connected', 'Rainbow', 'Paired', 'King high']",2.5
